United States,1,340
United States Virgin Islands,1,670
Northern Mariana Islands,1,671
Guam,1,684
American Samoa,1,787
Puerto Rico,1,939
Canada,1,
Bahamas,1,242
Barbados,1,246
Anguilla,1,264
Antigua and Barbuda,1,268
British Virgin Islands,1,284
Cayman Islands,1,345
Bermuda,1,441
Grenada,1,473
Turks and Caicos Islands,1,649
Jamaica,1,658
Montserrat,1,664
Sint Maarten,1,721
Saint Lucia,1,758
Dominica,1,767
Saint Vincent and the Grenadines,1,784
Dominican Republic,1,809
Trinidad and Tobago,1,868
Saint Kitts and Nevis,1,869
Egypt,20,
South Sudan,211,
Morocco,212,
Algeria,213,
Tunisia,216,
Libya,218,
Gambia,220,
Senegal,221,
Mauritania,222,
Mali,223,
Guinea,224,
Ivory Coast,225,
Burkina Faso,226,
Niger,227,
Togo,228,
Benin,229,
Mauritius,230,
Liberia,231,
Sierra Leone,232,
Ghana,233,
Nigeria,234,
Chad,235,
Central African Republic,236,
Cameroon,237,
Cape Verde,238,
São Tomé and Príncipe,239,
Equatorial Guinea,240,
Gabon,241,
Republic of the Congo,242,
Democratic Republic of the Congo,243,
Angola,244,
Guinea-Bissau,245,
British Indian Ocean Territory,246,
Ascension Island,247,
Seychelles,248,
Sudan,249,
Rwanda,250,
Ethiopia,251,
Somalia,252,
Zanzibar,255,
Uganda,256,
Burundi,257,
Mozambique,258,
Tanzania,259,
Zambia,260,
Madagascar,261,
Réunion,262,
Mayotte,262,
Zimbabwe,263,
Namibia,264,
Malawi,265,
Lesotho,266,
Botswana,267,
Eswatini,268,
Comoros,269,
South Africa,27,
Saint Helena,290,
Tristan da Cunha,290,
Eritrea,291,
Aruba,297,
Faroe Islands,298,
Greenland,299,
Greece,30,
Netherlands,31,
Belgium,32,
France,33,
Spain,34,
Gibraltar,350,
Portugal,351,
Luxembourg,352,
Ireland,353,
Iceland,354,
Albania,355,
Malta,356,
Cyprus,357,
Finland,358,
Bulgaria,359,
Hungary,36,
Germany,49,
United Kingdom,44,
Guernsey,44,1481
Jersey,44,1534
Isle of Man,44,1624
Denmark,45,
Sweden,46,
Norway,47,
Poland,48,
Germany,49,
Falkland Islands,500,
South Georgia and the South Sandwich Islands,500,
Belize,501,
Guatemala,502,
El Salvador,503,
Honduras,504,
Nicaragua,505,
Costa Rica,506,
Panama,507,
Saint-Pierre and Miquelon,508,
Haiti,509,
Peru,51,
Mexico,52,
Cuba,53,
Argentina,54,
Brazil,55,
Chile,56,
Colombia,57,
Venezuela,58,
Guadeloupe,590,
Bolivia,591,
Guyana,592,
Ecuador,593,
French Guiana,594,
Paraguay,595,
Martinique,596,
Suriname,597,
Uruguay,598,
Sint Eustatius,599,3
Saba,599,4
Bonaire,599,7
Curaçao,599,9
Malaysia,60,
Australia,61,
Cocos Islands,61,89162
Christmas Island,61,89164
Indonesia,62,
Philippines,63,
New Zealand,64,
Pitcairn Islands,64,
Singapore,65,
Thailand,66,
East Timor,670,
Brunei,673,
Nauru,674,
Papua New Guinea,675,
Tonga,676,
Solomon Islands,677,
Vanuatu,678,
Fiji,679,
Palau,680,
Wallis and Futuna,681,
Cook Islands,682,
Niue,683,
Samoa,685,
Kiribati,686,
New Caledonia,687,
Tuvalu,688,
French Polynesia,689,
Tokelau,690,
Federated States of Micronesia,691,
Marshall Islands,692,
Russia,7911,7912,7913,7914,7915,7916,7917,7918,7919,7900,7901,7902,7903,7904,7905,7906,7907,7908,7909,7920,7921,7922,7923,7924,7925,7926,7927,7928,7929,7960,7961,7962,7963,7964,7965,7966,7967,7968,7969,7800,7801,7802,7803,7804,7805,7806,7999,7902,7905,7906,7968,7964,
Kazakhstan,7701,7702,7705, 7776,7707,7700
China,86,
Bangladesh,880,
Taiwan,886,
Turkey,90,
Northern Cyprus,90,392
India,91,
Pakistan,92,
Afghanistan,93,
Sri Lanka,94,
Myanmar,95,
Maldives,960,
Lebanon,961,
Jordan,962,
Syria,963,
Iraq,964,
Kuwait,965,
Saudi Arabia,966,
Yemen,967,
Oman,968,
Palestine,970,
United Arab Emirates,971,
Israel,972,
Bahrain,973,
Qatar,974,
Bhutan,975,
Mongolia,976,
Nepal,977,
Iran,98,
Tajikistan,992,
Turkmenistan,993,
Azerbaijan,994,
Georgia,995,
Kyrgyzstan,996,
Kazakhstan,997,
Uzbekistan,998,
